Table,dim_individual,dim_company,dim_membership_type,dim_product,dim_event,dim_chapter,dim_sponsorship,dim_exhibit,dim_exhibitor,dim_sponsor,dim_campaign,dim_email,dim_community,dim_web_page,dim_activity_level,dim_geography,dim_date,dim_time,dim_month,dim_year
fact_memberships,X,X,X,X,,,,,,,,,,,,X,X,,,
fact_event_registrations,X,X,,X,X,,,,,,,,,,,X,X,,,
fact_event_sessions,X,X,,X,X,,,,,,,,,,,X,X,,,
fact_event_purchases,X,X,,X,X,,,,,,,,,,,X,X,,,
fact_sales_lines,X,X,,X,,,,,,,,,,,,X,X,,,
fact_sales_orders,X,X,,X,,,,,,,,,,,,X,X,,,
fact_chapter_memberships,X,X,,,,X,,,,,,,,,,X,X,,,
fact_email_sends,X,X,,,,,,,,,X,X,,,,X,X,,,
fact_email_opens,X,X,,,,,,,,,X,X,,,,X,X,,,
fact_email_clicks,X,X,,,,,,,,,X,X,,,,X,X,,,
fact_email_summaries,X,X,,,,,,,,,X,X,,,,X,X,,,
fact_community_activities,X,X,,,,,,,,,,,X,,,X,X,,,
fact_community_discussion_posts,X,X,,,,,,,,,,,X,,,X,X,,,
fact_community_discussions,X,X,,,,,,,,,,,X,,,X,X,,,
fact_community_memberships,X,X,,,,,,,,,,,X,,,X,X,,,
fact_sponsorships,X,X,,X,X,,X,,,X,,,,,,X,X,,,
fact_event_exhibits,X,X,,X,X,,,X,X,,,,,,,X,X,,,
fact_event_exhibit_purchases,X,X,,X,X,,,X,X,,,,,,,X,X,,,
fact_activities,X,X,,,,,,,,,,,,,X,X,X,,,
fact_web_sessions,,,,,,,,,,,,,,,,X,X,X,,
fact_web_pageviews,,,,,,,,,,,,,,X,,X,X,X,,
